Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
Stuck With Me,Billie Joe Armstrong -Words Green Day -Music,135523,4431357,0.99,Alternative & Punk,International Superhits,Green Day
Hitchin' A Ride,Billie Joe Armstrong -Words Green Day -Music,171546,5616891,0.99,Alternative & Punk,International Superhits,Green Day
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,153600,5075241,0.99,Alternative & Punk,International Superhits,Green Day
Redundant,Billie Joe Armstrong -Words Green Day -Music,198164,6481753,0.99,Alternative & Punk,International Superhits,Green Day
Nice Guys Finish Last,Billie Joe Armstrong -Words Green Day -Music,170187,5604618,0.99,Alternative & Punk,International Superhits,Green Day
Minority,Billie Joe Armstrong -Words Green Day -Music,168803,5535061,0.99,Alternative & Punk,International Superhits,Green Day
Warning,Billie Joe Armstrong -Words Green Day -Music,221910,7343176,0.99,Alternative & Punk,International Superhits,Green Day
Waiting,Billie Joe Armstrong -Words Green Day -Music,192757,6316430,0.99,Alternative & Punk,International Superhits,Green Day
Macy's Day Parade,Billie Joe Armstrong -Words Green Day -Music,213420,7075573,0.99,Alternative & Punk,International Superhits,Green Day
Into The Light,David Coverdale,76303,2452653,0.99,Rock,Into The Light,David Coverdale
River Song,David Coverdale,439510,14359478,0.99,Rock,Into The Light,David Coverdale
She Give Me ...,David Coverdale,252551,8385478,0.99,Rock,Into The Light,David Coverdale
Don't You Cry,David Coverdale,347036,11269612,0.99,Rock,Into The Light,David Coverdale
Love Is Blind,David Coverdale/Earl Slick,344999,11409720,0.99,Rock,Into The Light,David Coverdale
Slave,David Coverdale/Earl Slick,291892,9425200,0.99,Rock,Into The Light,David Coverdale
Cry For Love,Bossi/David Coverdale/Earl Slick,293015,9567075,0.99,Rock,Into The Light,David Coverdale
Living On Love,Bossi/David Coverdale/Earl Slick,391549,12785876,0.99,Rock,Into The Light,David Coverdale
Midnight Blue,David Coverdale/Earl Slick,298631,9750990,0.99,Rock,Into The Light,David Coverdale
Too Many Tears,Adrian Vanderberg/David Coverdale,359497,11810238,0.99,Rock,Into The Light,David Coverdale
Don't Lie To Me,David Coverdale/Earl Slick,283585,9288007,0.99,Rock,Into The Light,David Coverdale
Wherever You May Go,David Coverdale,239699,7803074,0.99,Rock,Into The Light,David Coverdale
Grito De Alerta,Gonzaga Jr.,202213,6539422,0.99,Latin,Meus Momentos,Gonzaguinha
Não Dá Mais Pra Segurar (Explode Coração),,219768,7083012,0.99,Latin,Meus Momentos,Gonzaguinha
Começaria Tudo Outra Vez,,196545,6473395,0.99,Latin,Meus Momentos,Gonzaguinha
O Que É O Que É ?,,259291,8650647,0.99,Latin,Meus Momentos,Gonzaguinha
Sangrando,Gonzaga Jr/Gonzaguinha,169717,5494406,0.99,Latin,Meus Momentos,Gonzaguinha
"Diga Lá, Coração",,255921,8280636,0.99,Latin,Meus Momentos,Gonzaguinha
Lindo Lago Do Amor,Gonzaga Jr.,249678,8353191,0.99,Latin,Meus Momentos,Gonzaguinha
Eu Apenas Queria Que Voçê Soubesse,,155637,5130056,0.99,Latin,Meus Momentos,Gonzaguinha
Com A Perna No Mundo,Gonzaga Jr.,227448,7747108,0.99,Latin,Meus Momentos,Gonzaguinha
E Vamos À Luta,,222406,7585112,0.99,Latin,Meus Momentos,Gonzaguinha
Um Homem Também Chora (Guerreiro Menino),,207229,6854219,0.99,Latin,Meus Momentos,Gonzaguinha
Comportamento Geral,Gonzaga Jr,181577,5997444,0.99,Latin,Meus Momentos,Gonzaguinha
Ponto De Interrogação,,180950,5946265,0.99,Latin,Meus Momentos,Gonzaguinha
"Espere Por Mim, Morena",Gonzaguinha,207072,6796523,0.99,Latin,Meus Momentos,Gonzaguinha
Balada Do Louco,Arnaldo Baptista - Rita Lee,241057,7852328,0.99,Alternative & Punk,Minha História,Os Mutantes
Ando Meio Desligado,Arnaldo Baptista - Rita Lee -  Sérgio Dias,287817,9484504,0.99,Alternative & Punk,Minha História,Os Mutantes
Top Top,Os Mutantes - Arnolpho Lima Filho,146938,4875374,0.99,Alternative & Punk,Minha História,Os Mutantes
Baby,Caetano Veloso,177188,5798202,0.99,Alternative & Punk,Minha História,Os Mutantes
A E O Z,Mutantes,518556,16873005,0.99,Alternative & Punk,Minha História,Os Mutantes
Panis Et Circenses,Caetano Veloso - Gilberto Gil,125152,4069688,0.99,Alternative & Punk,Minha História,Os Mutantes
Chão De Estrelas,Orestes Barbosa-Sílvio Caldas,284813,9433620,0.99,Alternative & Punk,Minha História,Os Mutantes
Vida De Cachorro,Rita Lee - Arnaldo Baptista - Sérgio Baptista,195186,6411149,0.99,Alternative & Punk,Minha História,Os Mutantes
Bat Macumba,Gilberto Gil - Caetano Veloso,187794,6295223,0.99,Alternative & Punk,Minha História,Os Mutantes
Desculpe Babe,Arnaldo Baptista - Rita Lee,170422,5637959,0.99,Alternative & Punk,Minha História,Os Mutantes
Rita Lee,Arnaldo Baptista/Rita Lee/Sérgio Dias,189257,6270503,0.99,Alternative & Punk,Minha História,Os Mutantes
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",Arnaldo Baptista - Rita Lee - Arnolpho Lima Filho,222955,7346254,0.99,Alternative & Punk,Minha História,Os Mutantes
Banho De Lua,B. de Filippi - F. Migliaci - Versão: Fred Jorge,221831,7232123,0.99,Alternative & Punk,Minha História,Os Mutantes
Meu Refrigerador Não Funciona,Arnaldo Baptista - Rita Lee - Sérgio Dias,382981,12495906,0.99,Alternative & Punk,Minha História,Os Mutantes
Burn,Coverdale/Lord/Paice,453955,14775708,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
Stormbringer,Coverdale,277133,9050022,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
Gypsy,Coverdale/Hughes/Lord/Paice,339173,11046952,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
Lady Double Dealer,Coverdale,233586,7608759,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
Mistreated,Coverdale,758648,24596235,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
Smoke On The Water,Gillan/Glover/Lord/Paice,618031,20103125,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
You Fool No One,Coverdale/Lord/Paice,804101,26369966,0.99,Rock,MK III The Final Concerts [Disc 1],Deep Purple
Custard Pie,Jimmy Page/Robert Plant,253962,8348257,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin
The Rover,Jimmy Page/Robert Plant,337084,11011286,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin
In My Time Of Dying,John Bonham/John Paul Jones,666017,21676727,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin
Houses Of The Holy,Jimmy Page/Robert Plant,242494,7972503,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin
Trampled Under Foot,John Paul Jones,336692,11154468,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin
Kashmir,John Bonham,508604,16686580,0.99,Rock,Physical Graffiti [Disc 1],Led Zeppelin
Imperatriz,Guga/Marquinho Lessa/Tuninho Professor,339173,11348710,0.99,Latin,Sambas De Enredo 2001,Various Artists
Beija-Flor,Caruso/Cleber/Deo/Osmar,327000,10991159,0.99,Latin,Sambas De Enredo 2001,Various Artists
Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,344320,11484362,0.99,Latin,Sambas De Enredo 2001,Various Artists
Mocidade,"Domenil/J. Brito/Joaozinho/Rap, Marcelo Do",261720,8817757,0.99,Latin,Sambas De Enredo 2001,Various Artists
Unidos Da Tijuca,"Douglas/Neves, Vicente Das/Silva, Gilmar L./Toninho Gentil/Wantuir",338834,11440689,0.99,Latin,Sambas De Enredo 2001,Various Artists
Salgueiro,"Augusto/Craig Negoescu/Rocco Filho/Saara, Ze Carlos Da",305920,10294741,0.99,Latin,Sambas De Enredo 2001,Various Artists
Mangueira,Bizuca/Clóvis Pê/Gilson Bernini/Marelo D'Aguia,298318,9999506,0.99,Latin,Sambas De Enredo 2001,Various Artists
União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",330945,11100945,0.99,Latin,Sambas De Enredo 2001,Various Artists
Grande Rio,Carlos Santos/Ciro/Claudio Russo/Zé Luiz,307252,10251428,0.99,Latin,Sambas De Enredo 2001,Various Artists
Portela,Flavio Bororo/Paulo Apparicio/Wagner Alves/Zeca Sereno,319608,10712216,0.99,Latin,Sambas De Enredo 2001,Various Artists
Caprichosos,Gule/Jorge 101/Lequinho/Luiz Piao,351320,11870956,0.99,Latin,Sambas De Enredo 2001,Various Artists
Tradição,Adalto Magalha/Lourenco,269165,9114880,0.99,Latin,Sambas De Enredo 2001,Various Artists
Império Serrano,Arlindo Cruz/Carlos Sena/Elmo Caetano/Mauricao,334942,11161196,0.99,Latin,Sambas De Enredo 2001,Various Artists
Tuiuti,"Claudio Martins/David Lima/Kleber Rodrigues/Livre, Cesare Som",259657,8749492,0.99,Latin,Sambas De Enredo 2001,Various Artists
(Da Le) Yaleo,Santana,353488,11769507,0.99,Rock,Supernatural,Santana
Love Of My Life,Carlos Santana & Dave Matthews,347820,11634337,0.99,Rock,Supernatural,Santana
Put Your Lights On,E. Shrody,285178,9394769,0.99,Rock,Supernatural,Santana
Africa Bamba,"I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo",282827,9492487,0.99,Rock,Supernatural,Santana
Smooth,M. Itaal Shur & Rob Thomas,298161,9867455,0.99,Rock,Supernatural,Santana
Do You Like The Way,L. Hill,354899,11741062,0.99,Rock,Supernatural,Santana
Maria Maria,"W. Jean, J. Duplessis, Carlos Santana, K. Perazzo & R. Rekow",262635,8664601,0.99,Rock,Supernatural,Santana
Migra,"R. Taha, Carlos Santana & T. Lindsay",329064,10963305,0.99,Rock,Supernatural,Santana
Corazon Espinado,F. Olivera,276114,9206802,0.99,Rock,Supernatural,Santana
Wishing It Was,"Eale-Eye Cherry, M. Simpson, J. King & M. Nishita",292832,9771348,0.99,Rock,Supernatural,Santana
El Farol,Carlos Santana & KC Porter,291160,9599353,0.99,Rock,Supernatural,Santana
Primavera,KC Porter & JB Eckl,378618,12504234,0.99,Rock,Supernatural,Santana
The Calling,Carlos Santana & C. Thompson,747755,24703884,0.99,Rock,Supernatural,Santana
Solução,,247431,8100449,0.99,Latin,The Best of Ed Motta,Ed Motta
Manuel,,230269,7677671,0.99,Latin,The Best of Ed Motta,Ed Motta
Entre E Ouça,,286302,9391004,0.99,Latin,The Best of Ed Motta,Ed Motta
Um Contrato Com Deus,,202501,6636465,0.99,Latin,The Best of Ed Motta,Ed Motta
Um Jantar Pra Dois,,244009,8021589,0.99,Latin,The Best of Ed Motta,Ed Motta
Vamos Dançar,,226194,7617432,0.99,Latin,The Best of Ed Motta,Ed Motta
Um Love,,181603,6095524,0.99,Latin,The Best of Ed Motta,Ed Motta
Seis Da Tarde,,238445,7935898,0.99,Latin,The Best of Ed Motta,Ed Motta
Baixo Rio,,198008,6521676,0.99,Latin,The Best of Ed Motta,Ed Motta
Sombras Do Meu Destino,,280685,9161539,0.99,Latin,The Best of Ed Motta,Ed Motta
Do You Have Other Loves?,,295235,9604273,0.99,Latin,The Best of Ed Motta,Ed Motta
Agora Que O Dia Acordou,,323213,10572752,0.99,Latin,The Best of Ed Motta,Ed Motta
Já!!!,,217782,7103608,0.99,Latin,The Best of Ed Motta,Ed Motta
A Rua,,238027,7930264,0.99,Latin,The Best of Ed Motta,Ed Motta
Now's The Time,Miles Davis,197459,6358868,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Jeru,Miles Davis,193410,6222536,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Compulsion,Miles Davis,345025,11254474,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Tempus Fugit,Miles Davis,231784,7548434,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Walkin',Miles Davis,807392,26411634,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
'Round Midnight,Miles Davis,357459,11590284,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Bye Bye Blackbird,Miles Davis,476003,15549224,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
New Rhumba,Miles Davis,277968,9018024,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Generique,Miles Davis,168777,5437017,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Summertime,Miles Davis,200437,6461370,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
So What,Miles Davis,564009,18360449,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
The Pan Piper,Miles Davis,233769,7593713,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Someday My Prince Will Come,Miles Davis,544078,17890773,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
My Funny Valentine (Live),Miles Davis,907520,29416781,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
E.S.P.,Miles Davis,330684,11079866,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Nefertiti,Miles Davis,473495,15478450,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Petits Machins (Little Stuff),Miles Davis,487392,16131272,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Miles Runs The Voodoo Down,Miles Davis,843964,27967919,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Little Church (Live),Miles Davis,196101,6273225,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Black Satin,Miles Davis,316682,10529483,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Jean Pierre (Live),Miles Davis,243461,7955114,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Time After Time,Miles Davis,220734,7292197,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Portia,Miles Davis,378775,12520126,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Space Truckin',Blackmore/Gillan/Glover/Lord/Paice,1196094,39267613,0.99,Rock,The Final Concerts (Disc 2),Deep Purple
Going Down / Highway Star,Gillan/Glover/Lord/Nix - Blackmore/Paice,913658,29846063,0.99,Rock,The Final Concerts (Disc 2),Deep Purple
Mistreated (Alternate Version),Blackmore/Coverdale,854700,27775442,0.99,Rock,The Final Concerts (Disc 2),Deep Purple
You Fool No One (Alternate Version),Blackmore/Coverdale/Lord/Paice,763924,24887209,0.99,Rock,The Final Concerts (Disc 2),Deep Purple
Jeepers Creepers,,185965,5991903,0.99,Jazz,Up An' Atom,Gene Krupa
Blue Rythm Fantasy,,348212,11204006,0.99,Jazz,Up An' Atom,Gene Krupa
Drum Boogie,,191555,6185636,0.99,Jazz,Up An' Atom,Gene Krupa
Let Me Off Uptown,,187637,6034685,0.99,Jazz,Up An' Atom,Gene Krupa
Leave Us Leap,,182726,5898810,0.99,Jazz,Up An' Atom,Gene Krupa
Opus No.1,,179800,5846041,0.99,Jazz,Up An' Atom,Gene Krupa
Boogie Blues,,204199,6603153,0.99,Jazz,Up An' Atom,Gene Krupa
How High The Moon,,201430,6529487,0.99,Jazz,Up An' Atom,Gene Krupa
Disc Jockey Jump,,193149,6260820,0.99,Jazz,Up An' Atom,Gene Krupa
Up An' Atom,,179565,5822645,0.99,Jazz,Up An' Atom,Gene Krupa
Bop Boogie,,189596,6093124,0.99,Jazz,Up An' Atom,Gene Krupa
Lemon Drop,,194089,6287531,0.99,Jazz,Up An' Atom,Gene Krupa
Coronation Drop,,176222,5899898,0.99,Jazz,Up An' Atom,Gene Krupa
Overtime,,163030,5432236,0.99,Jazz,Up An' Atom,Gene Krupa
Imagination,,289306,9444385,0.99,Jazz,Up An' Atom,Gene Krupa
Don't Take Your Love From Me,,282331,9244238,0.99,Jazz,Up An' Atom,Gene Krupa
Midget,,217025,7257663,0.99,Jazz,Up An' Atom,Gene Krupa
I'm Coming Virginia,,280163,9209827,0.99,Jazz,Up An' Atom,Gene Krupa
Payin' Them Dues Blues,,198556,6536918,0.99,Jazz,Up An' Atom,Gene Krupa
Jungle Drums,,199627,6546063,0.99,Jazz,Up An' Atom,Gene Krupa
Showcase,,201560,6697510,0.99,Jazz,Up An' Atom,Gene Krupa
Swedish Schnapps,,191268,6359750,0.99,Jazz,Up An' Atom,Gene Krupa
Samba Da Bênção,,409965,13490008,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Pot-Pourri N.º 4,,392437,13125975,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Onde Anda Você,,168437,5550356,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Samba Da Volta,,170631,5676090,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Canto De Ossanha,,204956,6771624,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Pot-Pourri N.º 5,,219898,7117769,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Formosa,,137482,4560873,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Como É Duro Trabalhar,,226168,7541177,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Minha Namorada,,244297,7927967,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Por Que Será,,162142,5371483,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Berimbau,,190667,6335548,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Deixa,,179826,5932799,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Pot-Pourri N.º 2,,211748,6878359,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Samba Em Prelúdio,,212636,6923473,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Carta Ao Tom 74,,162560,5382354,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Linha de Passe (João Bosco),,230948,7902328,0.99,Latin,Vozes do MPB,Various Artists
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),,163970,5399626,0.99,Latin,Vozes do MPB,Various Artists
Chão de Giz (Elba Ramalho),,274834,9016916,0.99,Latin,Vozes do MPB,Various Artists
Marina (Dorival Caymmi),,172643,5523628,0.99,Latin,Vozes do MPB,Various Artists
Aquarela (Toquinho),,259944,8480140,0.99,Latin,Vozes do MPB,Various Artists
Coração do Agreste (Fafá de Belém),,258194,8380320,0.99,Latin,Vozes do MPB,Various Artists
Dona (Roupa Nova),,243356,7991295,0.99,Latin,Vozes do MPB,Various Artists
Começaria Tudo Outra Vez (Maria Creuza),,206994,6851151,0.99,Latin,Vozes do MPB,Various Artists
Caçador de Mim (Sá & Guarabyra),,238341,7751360,0.99,Latin,Vozes do MPB,Various Artists
Romaria (Renato Teixeira),,244793,8033885,0.99,Latin,Vozes do MPB,Various Artists
As Rosas Não Falam (Beth Carvalho),,116767,3836641,0.99,Latin,Vozes do MPB,Various Artists
Wave (Os Cariocas),,130063,4298006,0.99,Latin,Vozes do MPB,Various Artists
Garota de Ipanema (Dick Farney),,174367,5767474,0.99,Latin,Vozes do MPB,Various Artists
Preciso Apender a Viver Só (Maysa),,143464,4642359,0.99,Latin,Vozes do MPB,Various Artists
Susie Q,Hawkins-Lewis-Broadwater,275565,9043825,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
I Put A Spell On You,Jay Hawkins,272091,8943000,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Proud Mary,J. C. Fogerty,189022,6229590,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Bad Moon Rising,J. C. Fogerty,140146,4609835,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Lodi,J. C. Fogerty,191451,6260214,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Green River,J. C. Fogerty,154279,5105874,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Commotion,J. C. Fogerty,162899,5354252,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Down On The Corner,J. C. Fogerty,164858,5521804,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Fortunate Son,J. C. Fogerty,140329,4617559,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Travelin' Band,J. C. Fogerty,129358,4270414,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Who'll Stop The Rain,J. C. Fogerty,149394,4899579,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Up Around The Bend,J. C. Fogerty,162429,5368701,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Run Through The Jungle,J. C. Fogerty,186044,6156567,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Lookin' Out My Back Door,J. C. Fogerty,152946,5034670,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Long As I Can See The Light,J. C. Fogerty,213237,6924024,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
I Heard It Through The Grapevine,Whitfield-Strong,664894,21947845,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Have You Ever Seen The Rain?,J. C. Fogerty,160052,5263675,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Hey Tonight,J. C. Fogerty,162847,5343807,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Sweet Hitch-Hiker,J. C. Fogerty,175490,5716603,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Someday Never Comes,J. C. Fogerty,239360,7945235,0.99,Rock,"Chronicle, Vol. 1",Creedence Clearwater Revival
Walking On The Water,J.C. Fogerty,281286,9302129,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
"Suzie-Q, Pt. 2",J.C. Fogerty,244114,7986637,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Born On The Bayou,J.C. Fogerty,316630,10361866,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Good Golly Miss Molly,J.C. Fogerty,163604,5348175,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Tombstone Shadow,J.C. Fogerty,218880,7209080,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Wrote A Song For Everyone,J.C. Fogerty,296385,9675875,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Night Time Is The Right Time,J.C. Fogerty,190119,6211173,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Cotton Fields,J.C. Fogerty,178181,5919224,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
It Came Out Of The Sky,J.C. Fogerty,176718,5807474,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Don't Look Now,J.C. Fogerty,131918,4366455,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
The Midnight Special,J.C. Fogerty,253596,8297482,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Before You Accuse Me,J.C. Fogerty,207804,6815126,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
My Baby Left Me,J.C. Fogerty,140460,4633440,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Pagan Baby,J.C. Fogerty,385619,12713813,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
(Wish I Could) Hideaway,J.C. Fogerty,228466,7432978,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
It's Just A Thought,J.C. Fogerty,237374,7778319,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Molina,J.C. Fogerty,163239,5390811,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Born To Move,J.C. Fogerty,342804,11260814,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Lookin' For A Reason,J.C. Fogerty,209789,6933135,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Hello Mary Lou,J.C. Fogerty,132832,4476563,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Gatas Extraordinárias,,212506,7095702,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Brasil,,243696,7911683,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Eu Sou Neguinha (Ao Vivo),,251768,8376000,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Geração Coca-Cola (Ao Vivo),,228153,7573301,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Lanterna Dos Afogados,,204538,6714582,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Coroné Antonio Bento,,200437,6713066,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
"Você Passa, Eu Acho Graça (Ao Vivo)",,206733,6943576,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Meu Mundo Fica Completo (Com Você),,247771,8322240,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
1° De Julho,,270262,9017535,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Música Urbana 2,,194899,6383472,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Vida Bandida (Ao Vivo),,192626,6360785,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Palavras Ao Vento,,212453,7048676,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Não Sei O Que Eu Quero Da Vida,,151849,5024963,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Woman Is The Nigger Of The World (Ao Vivo),,298919,9724145,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Juventude Transviada (Ao Vivo),,278622,9183808,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Malandragem,,247588,8165048,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
O Segundo Sol,,252133,8335629,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Smells Like Teen Spirit (Ao Vivo),,316865,10384506,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
E.C.T.,,227500,7571834,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Todo Amor Que Houver Nesta Vida,,227160,7420347,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Metrô. Linha 743,,174654,5837495,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Nós (Ao Vivo),,193828,6498661,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Na Cadência Do Samba,,196075,6483952,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Admirável Gado Novo,,274390,9144031,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Eleanor Rigby,,189466,6303205,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Socorro,,258586,8549393,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Blues Da Piedade,,257123,8472964,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
Rubens,,211853,7026317,0.99,Latin,Cássia Eller - Sem Limite [Disc 1],Cássia Eller
